#{"t_start": 1756442955.117941, "env_id": "LunarLander-v3"}
r,l,t
-22.262203,225,95.515551
100.272171,1000,98.049583
-208.188295,294,98.258456
72.444091,1000,98.994815
75.346821,1000,101.165171
-24.220978,363,101.424291
-137.876592,215,101.559843
153.698959,881,103.568738
49.480557,1000,104.313051
-26.736455,359,104.543912
-58.333486,392,104.785414
-12.011416,1000,107.187881
34.910154,299,107.38701
83.749249,1000,109.569612
-84.298418,275,109.795972
-93.401184,355,110.032035
138.384352,1000,110.733145
-191.717922,329,202.7362
-252.894294,309,202.888975
-453.439561,685,203.148008
-306.874039,375,203.293824
-417.691101,796,203.591769
-110.932091,202,203.672236
-372.476101,452,203.861284
-333.799287,376,204.002297
-286.677468,495,204.185784
-136.829845,156,204.24387
